source_task,family,work_type,criterion_id,criterion_title,reference_fragment,source_files,compiler_discrimination,review_status,review_notes
antitrust-competition/compare-corporate-antitrust-compliance-program-against-doj-and-ftc-guidelines,standard,analyze,C-054,Correctly states compliance budget as $1.2 million,$1.2 million,audit-committee-minutes-sept-2024.docx,reference_passes;corrupted_fails,,
antitrust-competition/compare-corporate-antitrust-compliance-program-against-doj-and-ftc-guidelines,standard,analyze,C-056,Correctly identifies Ridgeline's 18% U.S. market share in polymer intermediates,18%,audit-committee-minutes-sept-2024.docx,reference_passes;corrupted_fails,,
antitrust-competition/compare-expert-market-share-estimates-against-agency-data,standard,analyze,C-022,ISSUE_004: Explains why narrower geography concentrates shares,CPS and Ridgeway,brinkerhoff-expert-report.docx,reference_passes;corrupted_fails,,
antitrust-competition/compare-expert-market-share-estimates-against-agency-data,standard,analyze,C-049,"Correctly identifies data sources used by expert (Freedonia Group, CPS internal data, SEC filings)",Dr. Brinkerhoff | Freedonia Group,brinkerhoff-expert-report.docx,reference_passes;corrupted_fails,,
antitrust-competition/compare-expert-market-share-estimates-against-agency-data,standard,analyze,C-051,Correctly states the total corrugated market size difference ($38.6B expert vs. $32.1B FTC),$38.6 billion | $32.1 billion,brinkerhoff-expert-report.docx | ftc-staff-market-analysis.docx,reference_passes;corrupted_fails,,
antitrust-competition/compare-leniency-programs-across-three-jurisdictions,standard,research,C-017,ISSUE_005: Identifies Market Coordination Tracker as EU risk,Market Coordination Tracker | DG COMP,brazil-leniency-framework-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/compare-leniency-programs-across-three-jurisdictions,standard,research,C-045,Addresses December 18 board meeting deadline,"December 18, 2024",brazil-leniency-framework-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-competition,standard,draft,C-010,Privilege Waiver Concern Noted for Strategy Memo,Project Atlas,filing-jurisdiction-analysis.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-competition,standard,draft,C-011,Article 9 Referral Risk to Bundeskartellamt Identified,German UV | 49%,filing-jurisdiction-analysis.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-competition,standard,draft,C-025,Second Request Compliance Timeline Stated,Second Request | 12 months,filing-jurisdiction-analysis.docx | spa-summary-key-terms.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-competition,standard,draft,C-026,Second Request Timeline Impact on Closing Dates Modeled,Second Request,filing-jurisdiction-analysis.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-competition,standard,draft,C-027,Gun-Jumping Risk from Integration Planning Identified,HSR Act,filing-jurisdiction-analysis.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-competition,standard,draft,C-033,South Korea Pre-Closing Filing Recommended,South Korea,filing-jurisdiction-analysis.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-competition,standard,draft,C-064,"Correct Target Closing Date (April 30, 2025)","April 30, 2025",cade-decision-brightfield-jv.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-competition,standard,draft,C-066,Correct Reverse Break Fee Amount (€95 million),€95 million,filing-jurisdiction-analysis.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-competition,standard,draft,C-072,Q2 2025 Earnings Call Target Referenced in Timeline,2025,cade-decision-brightfield-jv.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-complaint,standard,draft,C-004,Plaintiff identified as an Oregon corporation,Ridgeline Craft Brewing Co,client-intake-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-complaint,standard,draft,C-005,"Plaintiff's principal place of business: 4820 NW Industrial Way, Portland, OR 97210",NW Industrial Way,client-intake-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-complaint,standard,draft,C-006,Defendant identified as a Delaware corporation,Pacific Dominion Beverages,client-intake-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-complaint,standard,draft,C-012,Interstate commerce nexus alleged (ISSUE_010),Pacific Dominion's,client-intake-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-complaint,standard,draft,C-018,Pacific Dominion's market share: 67% in Oregon by volume,Pacific Dominion | 67%,client-intake-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-complaint,standard,draft,C-036,Timberline Taphouse coercion instance with specifics (ISSUE_004),"Timberline Taphouse | Marcus Cheng | Pacific Dominion | Diane Kowalski | August 9, 2022",client-intake-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-complaint,standard,draft,C-048,Attempted monopolization claim references Idaho's lower market share,Pacific Dominion's | 58%,client-intake-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-antitrust-complaint,standard,draft,C-065,PPP launch date: approximately March 2021,Pacific Dominion | Premier Partner Program | 2021,client-intake-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-consent-decree,standard,draft,C-054,Consent decree specifies $2.4 million annual cost cap for monitoring trustee,$2.4 million,divestiture-feasibility-analysis.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-leniency-application,standard,draft,C-037,ISSUE_003: Recommends parallel Canadian filing or coordination,Canadian Competition Bureau,doj-leniency-policy-reference.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-leniency-application,standard,draft,C-067,Correct financial: CPS HDPE film revenue ~$172M,CPS's HDPE | $172 million,czerny-interview-summary.docx | kensington-forensic-report.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-leniency-application,standard,draft,C-072,Application references Kensington Forensic Advisors' analysis,Kensington Forensic Advisors LLC,board-resolution-leniency.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-market-definition-analysis-memorandum,standard,draft,C-016,ISSUE_006: Analyzes brokerage-only vs. broader for-hire trucking market,freight brokerage,aks-ridgeline-precedent-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-markup-of-proposed-protective-order,standard,draft,C-015,ISSUE_004: Identifies absence of FRE 502(d) reference in clawback provision,Federal Rule of Evidence,hsw-protective-order-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-markup-of-proposed-protective-order,standard,draft,C-020,ISSUE_006: Identifies that HC tier definition excludes structured data/financial models,Highly Confidential Information | Outside Counsel Only,client-instruction-email.eml,reference_passes;corrupted_fails,,
antitrust-competition/draft-markup-of-proposed-protective-order,standard,draft,C-034,ISSUE_011: Proposes third-tier 'Attorneys Eyes Only' or equivalent super-tier,Highly Confidential — Outside Counsel Only,client-instruction-email.eml,reference_passes;corrupted_fails,,
antitrust-competition/draft-markup-of-proposed-protective-order,standard,draft,C-056,ISSUE_003: Notes Staff signaled flexibility on 'conclusion' definition,"conclusion of the investigation | FTC Staff | April 8, 2025",client-instruction-email.eml | ftc-proposed-protective-order.docx | hsw-protective-order-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-pre-notification-briefing-paper,standard,draft,C-002,ISSUE_001: States correct share count is approximately 5.04 million shares,$63.50 | 5.04 million,polaris-ownership-chart.xlsx | terravox-board-presentation.pptx,reference_passes;corrupted_fails,,
antitrust-competition/draft-pre-notification-briefing-paper,standard,draft,C-056,Hell-or-high-water covenant discussed with $150M cap limitation,hell or high water | $150 million,competitive-overlap-memo.docx | terravox-board-presentation.pptx,reference_passes;corrupted_fails,,
antitrust-competition/draft-response-to-investigative-subpoena,standard,draft,C-002,CID Response Letter: From Eleanor Whitfield on Behalf of Greenleaf,Tilson & Beck LLP | Greenleaf Industries,antitrust-compliance-policy.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-response-to-investigative-subpoena,standard,draft,C-010,ISSUE_001: Identifies 340 vs. ~85 Sales Personnel Disparity,all sales personnel | Relevant Products,civil-investigative-demand.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-response-to-investigative-subpoena,standard,draft,C-070,"Factual Accuracy: CID Served March 4, 2025","March 4, 2025",civil-investigative-demand.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-response-to-investigative-subpoena,standard,draft,C-071,"Factual Accuracy: 14,000 Documents Remaining Unreviewed","14,000 documents",ediscovery-status-report.docx,reference_passes;corrupted_fails,,
antitrust-competition/draft-response-to-second-request-for-information,standard,draft,C-006,Identifies Project Anvil 'pricing leverage' language as hot document,"November 2, 2024 | Project Anvil | pricing leverage in the aerospace vertical",custodian-list-summary.xlsx | key-custodian-emails.eml | project-anvil-board-deck.pptx,reference_passes;corrupted_fails,,
antitrust-competition/draft-response-to-second-request-for-information,standard,draft,C-021,Flags Vincenzo 'scrub' email as potential spoliation concern,"December 3, 2024",key-custodian-emails.eml,reference_passes;corrupted_fails,,
antitrust-competition/draft-response-to-second-request-for-information,standard,draft,C-039,Reports correct combined market share in aerospace fasteners (35.0%),35.0%,custodian-list-summary.xlsx,reference_passes;corrupted_fails,,
antitrust-competition/extract-competitive-overlap-data-from-joint-venture-business-plan,standard,analyze,C-002,"ISSUE_001: States correct combined LNP share as 17.0% ($714M / $4,200M)",17.0%,jv-business-plan-final.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-competitive-overlap-data-from-joint-venture-business-plan,standard,analyze,C-007,ISSUE_002: References the 2023 Master Services Agreement,2023 | Master Services Agreement,jv-business-plan-final.docx | meridian-pipeline-summary.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-competitive-overlap-data-from-joint-venture-business-plan,standard,analyze,C-032,Reports correct combined mRNA oncology market share as 16.0%,16.0%,jv-business-plan-final.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-competitive-overlap-data-from-joint-venture-business-plan,standard,analyze,C-033,Reports NSCLC immuno-oncology market size as $28.3B (2024),$28.3 billion,jv-business-plan-final.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-competitive-overlap-data-from-joint-venture-business-plan,standard,analyze,C-045,"Reports correct Meridian share in checkpoint inhibitor market as 5.0% ($2,605M)",5.0%,jv-business-plan-final.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-key-custodians-from-document-preservation-notice,standard,analyze,C-030,Brian Hewitt listed as active employment status,Brian Hewitt,it-memo-devices.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-key-custodians-from-document-preservation-notice,standard,analyze,C-043,Wave 2 Custodian: Gerald Ng listed as Wave 2,Gerald Ng,key-document-log.xlsx,reference_passes;corrupted_fails,,
antitrust-competition/extract-key-custodians-from-document-preservation-notice,standard,analyze,C-047,Oliver Branscomb title correctly stated,Oliver Branscomb | VP Corporate Strategy,preservation-notice.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-key-custodians-from-document-preservation-notice,standard,analyze,C-056,Gregory Turnbull title correctly stated,Gregory Turnbull | Legal Operations Manager,preservation-notice.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-key-custodians-from-document-preservation-notice,standard,analyze,C-061,Wave 3 Custodian: Diane Falk listed as Wave 3,Diane Falk,it-memo-devices.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-key-custodians-from-document-preservation-notice,standard,analyze,C-099,ISSUE_012: Notes Greaves and O'Brien inclusion lacks clear justification,Samantha Greaves | Coatings & Resins Division,cid-summary.docx | preservation-notice.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-key-custodians-from-document-preservation-notice,standard,analyze,C-112,Notes the ChemAlliance Trade Conference attendance pattern,ChemAlliance Trade Conference,cid-summary.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-key-custodians-from-document-preservation-notice,standard,analyze,C-119,References Fenn's ChemAlliance Market Data Subcommittee role,Marcus Fenn | ChemAlliance Market Data Subcommittee,it-memo-devices.docx | key-document-log.xlsx,reference_passes;corrupted_fails,,
antitrust-competition/extract-key-findings-from-european-competition-authority-decision,standard,analyze,C-003,Identifies CSR as respondent,Compagnie Silicates,commission-decision-at40891.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-key-findings-from-european-competition-authority-decision,standard,analyze,C-005,Identifies PK as respondent,Polska Krzemiany Sp,commission-decision-at40891.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-key-findings-from-european-competition-authority-decision,standard,analyze,C-050,ISSUE_011: Identifies equal treatment concern regarding selective disproportionality correction,1.2%,partner-assignment-email.eml,reference_passes;corrupted_fails,,
antitrust-competition/extract-market-share-data/scenario-01,standard,analyze,C-009,States NovaTech revenue per Cornerstone ($865M),NovaTech's FY2023 | $865M,cascade-board-presentation-project-aurora.docx | cornerstone-market-report-2023.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-market-share-data/scenario-01,standard,analyze,C-010,States NovaTech revenue per Stratton ($940M),NovaTech's FY2023 | $940M,cascade-board-presentation-project-aurora.docx | cornerstone-market-report-2023.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-market-share-data/scenario-01,standard,analyze,C-011,States NovaTech revenue per CIM ($925M),NovaTech's FY2023 | $925M,cascade-board-presentation-project-aurora.docx | novatech-cim-project-aurora.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-market-share-data/scenario-01,standard,analyze,C-012,States combined Cascade+NovaTech market share under Cornerstone (~18.50%),18.50%,cascade-board-presentation-project-aurora.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-market-share-data/scenario-02,standard,analyze,C-004,Explains reason for Stratton's higher TAM (IoT gateways and predictive maintenance software),$14.10B,antitrust-discussion-email-chain.eml,reference_passes;corrupted_fails,,
antitrust-competition/extract-market-share-data/scenario-02,standard,analyze,C-017,"Calculates pre-merger HHI for overall market (Cornerstone) ~1,738",North American,antitrust-discussion-email-chain.eml,reference_passes;corrupted_fails,,
antitrust-competition/extract-market-share-data/scenario-02,standard,analyze,C-026,Identifies factory-floor networking hardware combined share (~25.41%) (ISSUE_005),25.41%,cornerstone-market-report-2023.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-pricing-data-from-document-production,standard,analyze,C-002,Memo identifies Ridgeline Building Products as subject,Ridgeline Building Products,frazier-pulido-competitor-pricing-email.eml,reference_passes;corrupted_fails,,
antitrust-competition/extract-pricing-data-from-document-production,standard,analyze,C-007,TrimBoard pricing timeline: $2.15 → $2.26 → $2.45 → $2.60,RidgeLine TrimBoard | $2.15 | $2.26 | $2.45 | $2.60,greystone-account-pricing-history.xlsx,reference_passes;corrupted_fails,,
antitrust-competition/extract-pricing-data-from-document-production,standard,analyze,C-008,Soffit pricing timeline: $165 → $173.25 → $187.75 → $199,RidgeLine Soffit | $165.00 | $173.25 | $187.75 | $199.00,greystone-account-pricing-history.xlsx,reference_passes;corrupted_fails,,
antitrust-competition/extract-pricing-data-from-document-production,standard,analyze,C-021,SEBPA CEO roundtable attendees: all four investigated manufacturers noted,"January 18, 2024 | SEBPA CEO",frazier-pulido-competitor-pricing-email.eml | pulido-phone-log-calendar.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-pricing-data-from-document-production,standard,analyze,C-028,'Delete this' flagged as spoliation concern or consciousness of guilt,Delete this,frazier-pulido-competitor-pricing-email.eml,reference_passes;corrupted_fails,,
antitrust-competition/extract-pricing-data-from-document-production,standard,analyze,C-058,DISTRACTOR_002: Georgia DOT texts not characterized as pricing communication,"June 22, 2023 | Georgia DOT",frazier-text-message-extraction.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-pricing-data-from-document-production,standard,analyze,C-060,Pulido's 'DO NOT reply to Greystone' instruction noted,"DO NOT | September 12, 2023",compton-pulido-greystone-email-chain.eml,reference_passes;corrupted_fails,,
antitrust-competition/extract-relevant-product-market-definitions-from-precedent-decisions,standard,research,C-017,ISSUE_008: Identifies DOC_001's limitation to currently marketed products,currently marketed products,brevanta-novacel-analysis.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-relevant-product-market-definitions-from-precedent-decisions,standard,research,C-044,Memo correctly notes narrow NSCLC definition could yield >55% combined share,55%,brevanta-novacel-analysis.docx,reference_passes;corrupted_fails,,
antitrust-competition/extract-relevant-product-market-definitions-from-precedent-decisions,standard,research,C-048,Memo correctly identifies Vericara's JAK market share,U.S. JAK | 30.1%,deal-overview-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/identify-antitrust-and-competition-issues-in-joint-venture-agreement,standard,analyze,C-028,Identifies exclusive supply agreements' foreclosure effects,Cascade and Saxonbrook | 40% | North American,draft-jv-agreement.docx | feb-meeting-notes.docx,reference_passes;corrupted_fails,,
antitrust-competition/identify-antitrust-and-competition-issues-in-joint-venture-agreement,standard,analyze,C-040,Cites Sherman Act Section 1 for horizontal restraint issues,Section 1,draft-jv-agreement.docx,reference_passes;corrupted_fails,,
antitrust-competition/identify-antitrust-and-competition-issues-in-joint-venture-agreement,standard,analyze,C-046,Identifies absence of clean team protocol at Feb 3 meeting,"February 3, 2025",feb-meeting-notes.docx,reference_passes;corrupted_fails,,
antitrust-competition/identify-antitrust-issues-in-counterpartys-expert-economic-report,standard,analyze,C-011,ISSUE_004: Identifies failure to test for heteroskedasticity,Dr. Whitford,consolidated-gypsum-daubert-order.docx,reference_passes;corrupted_fails,,
antitrust-competition/identify-antitrust-issues-in-counterpartys-expert-economic-report,standard,analyze,C-046,Correctly identifies the benchmark period as 2012–2016,2012 | 2016,consolidated-gypsum-daubert-order.docx,reference_passes;corrupted_fails,,
antitrust-competition/identify-issues-in-civil-investigative-demand,standard,analyze,C-023,Identifies Google Workspace decommissioning as complicating recovery of unmigrated emails,Google Workspace,cloudbridge-migration-report.docx,reference_passes;corrupted_fails,,
antitrust-competition/identify-issues-in-civil-investigative-demand,standard,analyze,C-034,"Deadline summary includes oral testimony date of November 22, 2024","November 22, 2024",civil-investigative-demand.docx,reference_passes;corrupted_fails,,
antitrust-competition/identify-issues-in-proposed-remedies-package,standard,analyze,C-026,ISSUE_009: Identifies R&D center exclusion undermines innovation capability,PurePath's Portland R&D | Portland Plant's,buyer-suitability-submission.docx | internal-strategy-memo.eml,reference_passes;corrupted_fails,,
antitrust-competition/identify-issues-in-proposed-remedies-package,standard,analyze,C-031,ISSUE_011: Identifies no-minimum-price trustee provision concerns,Divestiture Trustee's,proposed-consent-decree.docx,reference_passes;corrupted_fails,,
antitrust-competition/identify-issues-in-proposed-remedies-package,standard,analyze,C-041,Notes Greenfield's 312-employee transfer represents 64% headcount increase,Portland Plant | 64%,buyer-suitability-submission.docx | internal-strategy-memo.eml,reference_passes;corrupted_fails,,
antitrust-competition/prepare-antitrust-risk-assessment,standard,analyze,C-010,ISSUE_001: Aerospace sealants post-merger HHI calculated,"1,099 | Post-merger HHI",hsr-act-reference-materials.docx,reference_passes;corrupted_fails,,
antitrust-competition/prepare-antitrust-risk-assessment,standard,analyze,C-044,ISSUE_007: Consumer pass-through of procurement savings questioned,Merger Guidelines,hsr-act-reference-materials.docx,reference_passes;corrupted_fails,,
antitrust-competition/prepare-antitrust-risk-assessment,standard,analyze,C-049,ISSUE_009: Second Request probability in advisory letter,Second Request,draft-merger-agreement-regulatory-provisions-excerpt.docx,reference_passes;corrupted_fails,,
antitrust-competition/prepare-antitrust-risk-assessment,standard,analyze,C-050,ISSUE_009: Timeline impact of Second Request addressed,Second Request | 12 months,draft-merger-agreement-regulatory-provisions-excerpt.docx | hsr-act-reference-materials.docx,reference_passes;corrupted_fails,,
antitrust-competition/prepare-antitrust-risk-assessment,standard,analyze,C-080,Combined share in industrial coatings correctly stated as ~22-23%,22.6%,hsr-act-reference-materials.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/analyze-arbitration-award-for-new-york-convention-enforcement-defenses,standard,analyze,C-028,Identifies English-language proceedings as potential V(1)(b) defense,Article V,counsel-request-email.eml,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/analyze-arbitration-award-for-new-york-convention-enforcement-defenses,standard,analyze,C-036,"Verifies total damages sum including interest and costs (~$9,530,861)","$9,530,861",final-award-pac-2022-0041.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/analyze-arbitration-award-for-new-york-convention-enforcement-defenses,standard,analyze,C-040,Addresses Pacífico's unconscionability argument re arbitration clause,Article V,counsel-request-email.eml,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/analyze-counterparty-markup-of-arbitration-agreement,standard,analyze,C-039,ISSUE_011: Identifies mandatory 90-day mediation clause,ICC Mediation Rules,fih-arbitration-playbook.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/analyze-counterparty-markup-of-procedural-order,standard,analyze,C-005,ISSUE_001 references CMC agreement on Paris seat,"September 5, 2024 | Case Management Conference",claimant-strategy-memo.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/analyze-counterparty-markup-of-procedural-order,standard,analyze,C-034,ISSUE_008 identified: Hot-tubbing for experts deleted,Section 8.4,respondent-markup-po1.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/analyze-counterparty-markup-of-procedural-order,standard,analyze,C-051,ISSUE_012 explains need for emergency relief given asset dissipation,€38 million,claimant-strategy-memo.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/compare-arbitrator-candidates-against-selection-criteria,standard,analyze,C-018,ISSUE_005: Explains practical impact of Fong's availability constraint,$47.5 million,case-summary-memo.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/compare-arbitrator-candidates-against-selection-criteria,standard,analyze,C-026,ISSUE_009: Correctly classifies Sandoval's prior matter as low-risk under IBA Guidelines,Alderman & Voss | 2019 | Conflicts of Interest | Under the IBA Guidelines,candidate-profiles.docx | case-summary-memo.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/compare-arbitrator-candidates-against-selection-criteria,standard,analyze,C-045,Gruber's concurrent tribunal analyzed under IBA Guidelines Orange List,IBA Guidelines | Conflicts of Interest | Dr. Vollmer,candidate-profiles.docx | case-summary-memo.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/compare-document-production-requests-against-redfern-schedule,standard,analyze,C-004,ISSUE_002: Identifies absence of Package C marine facilities change orders,Package C,claimant-deficiency-letter.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/compare-document-production-requests-against-redfern-schedule,standard,analyze,C-039,Correctly identifies Request 16 production as complete,2019 | 2024,claimant-deficiency-letter.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/compare-document-production-requests-against-redfern-schedule,standard,analyze,C-043,Memo correctly identifies applicable evidentiary rules as IBA Rules 2020,IBA Rules | Taking of Evidence | International Arbitration | Procedural Order No,claimant-deficiency-letter.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/compare-procedural-timetable-against-institutional-rules,standard,analyze,C-027,Recommends CPC raise the wrong rules edition issue,ICC Rules,answer-to-request.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/compare-procedural-timetable-against-institutional-rules,standard,analyze,C-032,"References the April 21, 2025 comment deadline","April 21, 2025",partner-instructions.eml,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/draft-application-to-set-aside-arbitration-award,standard,draft,C-057,References Procedural Order No. 3 in evidence exclusion argument,"Procedural Order No | January 15, 2024",ferren-supplemental-expert-report.docx | final-award-pas-2023-arb-04871.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/draft-arbitrator-nomination-letter,standard,draft,C-024,Disclosure: 2022 academic publication on fiduciary duties in cross-border JVs,Prof. Vassiliadis's | Fiduciary Duties | Cross-Border Joint Ventures,arbitrator-selection-memo.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/draft-arbitrator-nomination-letter,standard,draft,C-028,"Reference to ICC Statement of Acceptance, Availability, Impartiality, and Independence",Prof. Vassiliadis | ICC Statement of Acceptance,arbitrator-selection-memo.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/draft-arbitrator-nomination-letter,standard,draft,C-032,"Request for Arbitration filing date correctly stated as December 9, 2024","December 9, 2024",arbitrator-selection-memo.docx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/draft-challenge-to-arbitrator-appointment,standard,draft,C-001,Submission addressed to ICC Secretary General,Secretary General | ICC International Court of Arbitration,appointment-chronology.xlsx,reference_passes;corrupted_fails,,
arbitration-international-dispute-resolution/draft-challenge-to-arbitrator-appointment,standard,draft,C-015,"ISSUE_001: CHF 225,000 total advisory board compensation mentioned","45,000 | 5 years | 225,000",appointment-chronology.xlsx,reference_passes;corrupted_fails,,
